N
20,20
C
2
R
2,2
T
9,19
M
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 50, 50, 1, 1, 1, 1, 1, 1, 1, 50, 50, 1, 1, 1, 1, 1, 1, 1
1, 1, 50, 50, 1, 1, 1, 1, 1, 50, 50, 50, 50, 50, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 50, 1, 1, 1, 50, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 50, 50, 50, 1, 1, 50, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 50, 50, 1, 1, 1, 50, 50, 1, 50, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 50, 1, 1, 1, 1, 50, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 50, 1, 1, 1, 1, 50, 1, 1, 1, 1, 1, 1, 50, 50, 50
1, 1, 1, 1, 1, 50, 1, 1, 1, 1, 50, 50, 50, 50, 1, 1, 1, 50, 1, 1
1, 1, 1, 50, 50, 50, 1, 1, 1, 1, 1, 1, 1, 50, 1, 1, 1, 50, 1, 1
1, 1, 1, 50, 1, 1, 1, 1, 1, 1, 1, 1, 1, 50, 50, 1, 1, 50, 50, 1
1, 1, 1, 50, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 50, 50, 1, 1, 1, 1
1, 1, 1, 50, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 50, 50, 50, 50, 50, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 50, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 50, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
